"id" ,"cnt","dteday"    ,"season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed"
12601,40   ,"2012-06-14",2       ,1   ,6     ,5   ,0        ,4        ,1           ,2           ,0.6   ,0.6212 ,0.56 ,0.2537
12807,362  ,"2012-06-22",3       ,1   ,6     ,19  ,0        ,5        ,1           ,2           ,0.76  ,0.697  ,0.55 ,0.5224
12039,448  ,"2012-05-21",2       ,1   ,5     ,19  ,0        ,1        ,1           ,1           ,0.66  ,0.6212 ,0.69 ,0.0896
15863,79   ,"2012-10-28",4       ,1   ,10    ,3   ,0        ,0        ,0           ,2           ,0.5   ,0.4848 ,0.63 ,0.3284
14925,12   ,"2012-09-19",3       ,1   ,9     ,1   ,0        ,3        ,1           ,2           ,0.54  ,0.5152 ,0.68 ,0.2537
2365 ,46   ,"2011-04-13",2       ,0   ,4     ,10  ,0        ,3        ,1           ,2           ,0.4   ,0.4091 ,0.87 ,0.194
8112 ,189  ,"2011-12-09",4       ,0   ,12    ,15  ,0        ,5        ,1           ,1           ,0.38  ,0.3939 ,0.46 ,0.2836
10857,281  ,"2012-04-02",2       ,1   ,4     ,12  ,0        ,1        ,1           ,1           ,0.44  ,0.4394 ,0.44 ,0.4478
2142 ,2    ,"2011-04-04",2       ,0   ,4     ,2   ,0        ,1        ,1           ,1           ,0.38  ,0.3939 ,0.66 ,0.2537
13994,23   ,"2012-08-11",3       ,1   ,8     ,6   ,0        ,6        ,0           ,2           ,0.62  ,0.5606 ,0.88 ,0.1045
495  ,83   ,"2011-01-22",1       ,0   ,1     ,16  ,0        ,6        ,0           ,1           ,0.12  ,0.1364 ,0.28 ,0.194
16807,100  ,"2012-12-08",4       ,1   ,12    ,1   ,0        ,6        ,0           ,2           ,0.36  ,0.3485 ,0.93 ,0.1343
9814 ,148  ,"2012-02-18",1       ,1   ,2     ,20  ,0        ,6        ,0           ,1           ,0.44  ,0.4394 ,0.44 ,0.1642
2293 ,81   ,"2011-04-10",2       ,0   ,4     ,9   ,0        ,0        ,0           ,2           ,0.38  ,0.3939 ,0.94 ,0.1343
8926 ,421  ,"2012-01-12",1       ,1   ,1     ,18  ,0        ,4        ,1           ,1           ,0.44  ,0.4394 ,0.67 ,0.194
1447 ,190  ,"2011-03-05",1       ,0   ,3     ,13  ,0        ,6        ,0           ,2           ,0.46  ,0.4545 ,0.67 ,0.2836
16531,210  ,"2012-11-26",4       ,1   ,11    ,12  ,0        ,1        ,1           ,1           ,0.42  ,0.4242 ,0.35 ,0.1045
2033 ,98   ,"2011-03-30",2       ,0   ,3     ,13  ,0        ,3        ,1           ,2           ,0.36  ,0.3485 ,0.46 ,0.2239
13648,354  ,"2012-07-27",3       ,1   ,7     ,20  ,0        ,5        ,1           ,1           ,0.78  ,0.7424 ,0.59 ,0.1045
4998 ,4    ,"2011-08-01",3       ,0   ,8     ,3   ,0        ,1        ,1           ,1           ,0.7   ,0.6667 ,0.79 ,0.1642
17218,7    ,"2012-12-25",1       ,1   ,12    ,6   ,1        ,2        ,0           ,2           ,0.22  ,0.2273 ,0.93 ,0.1343
4083 ,63   ,"2011-06-24",3       ,0   ,6     ,0   ,0        ,5        ,1           ,1           ,0.68  ,0.6364 ,0.79 ,0.194
6912 ,155  ,"2011-10-20",4       ,0   ,10    ,14  ,0        ,4        ,1           ,2           ,0.48  ,0.4697 ,0.48 ,0.5522
6117 ,249  ,"2011-09-17",3       ,0   ,9     ,10  ,0        ,6        ,0           ,2           ,0.5   ,0.4848 ,0.68 ,0.2836
13788,406  ,"2012-08-02",3       ,1   ,8     ,16  ,0        ,4        ,1           ,1           ,0.82  ,0.7576 ,0.46 ,0.194
10959,484  ,"2012-04-06",2       ,1   ,4     ,18  ,0        ,5        ,1           ,1           ,0.5   ,0.4848 ,0.22 ,0.4627
1012 ,98   ,"2011-02-14",1       ,0   ,2     ,19  ,0        ,1        ,1           ,1           ,0.38  ,0.3939 ,0.43 ,0.4925
7115 ,18   ,"2011-10-29",4       ,0   ,10    ,1   ,0        ,6        ,0           ,3           ,0.3   ,0.2727 ,0.87 ,0.2985
5789 ,388  ,"2011-09-03",3       ,0   ,9     ,15  ,0        ,6        ,0           ,1           ,0.72  ,0.6818 ,0.7  ,0.1642
5746 ,280  ,"2011-09-01",3       ,0   ,9     ,20  ,0        ,4        ,1           ,1           ,0.66  ,0.6212 ,0.61 ,0.2239
7848 ,150  ,"2011-11-28",4       ,0   ,11    ,15  ,0        ,1        ,1           ,1           ,0.58  ,0.5455 ,0.6  ,0.1642
330  ,1    ,"2011-01-15",1       ,0   ,1     ,5   ,0        ,6        ,0           ,1           ,0.16  ,0.2273 ,0.59 ,0
5159 ,183  ,"2011-08-07",3       ,0   ,8     ,20  ,0        ,0        ,0           ,1           ,0.72  ,0.7121 ,0.84 ,0.1343
1085 ,76   ,"2011-02-17",1       ,0   ,2     ,22  ,0        ,4        ,1           ,1           ,0.5   ,0.4848 ,0.59 ,0.2836
15610,270  ,"2012-10-17",4       ,1   ,10    ,14  ,0        ,3        ,1           ,2           ,0.56  ,0.5303 ,0.43 ,0.1642
3775 ,13   ,"2011-06-11",2       ,0   ,6     ,4   ,0        ,6        ,0           ,1           ,0.68  ,0.6364 ,0.79 ,0.0896
12269,311  ,"2012-05-31",2       ,1   ,5     ,9   ,0        ,4        ,1           ,1           ,0.66  ,0.6212 ,0.47 ,0.2537
10784,187  ,"2012-03-30",2       ,1   ,3     ,10  ,0        ,5        ,1           ,2           ,0.36  ,0.3636 ,0.57 ,0.1045
10814,535  ,"2012-03-31",2       ,1   ,3     ,16  ,0        ,6        ,0           ,2           ,0.5   ,0.4848 ,0.63 ,0.2985
2314 ,176  ,"2011-04-11",2       ,0   ,4     ,7   ,0        ,1        ,1           ,2           ,0.5   ,0.4848 ,0.88 ,0.2239
12251,275  ,"2012-05-30",2       ,1   ,5     ,15  ,0        ,3        ,1           ,1           ,0.72  ,0.6667 ,0.51 ,0.1343
1503 ,22   ,"2011-03-07",1       ,0   ,3     ,23  ,0        ,1        ,1           ,1           ,0.28  ,0.3182 ,0.48 ,0
