id,cnt
13504,214
15714,113
1658,101
10461,126
10875,100
14811,454
1474,25
5809,337
4655,262
7707,165
15963,374
9455,163
13565,339
10330,410
9277,126
1859,10
196,49
2817,62
11720,263
8864,4
7801,314
13754,185
1692,3
16019,4
6976,12
2635,359
6669,265
8306,165
8422,188
16899,207
6190,56
5082,165
11363,112
5742,308
8691,39
5600,26
1771,196
9527,154
3992,3
14375,4
267,49
10740,221
3201,101
16002,360
13762,263
6587,67
17278,197
7472,118
8239,104
4988,320
13281,277
16697,233
7647,4
11282,113
5929,122
2488,169
2850,154
3525,417
12482,80
4649,430
11959,334
13615,212
8635,313
13028,43
295,162
12885,30
14826,229
13302,268
15753,303
4218,189
2096,5
4604,587
4016,25
9540,116
5799,75
9289,119
8437,2
51,3
5847,2
2862,1
14209,37
10343,10
145,84
8186,359
9832,237
8514,91
11372,13
10832,360
7602,375
16668,16
11381,308
16628,251
3248,28
10450,294
11562,211
15504,11
6151,180
8971,226
10575,729
12472,408
13506,180
2232,203
4080,234
10791,606
6593,87
223,54
3168,177
4350,8
929,74
8809,170
10973,123
3608,8
6196,511
16215,211
3904,151
894,166
14515,145
9062,114
17209,23
3889,175
6376,22
3969,33
16896,546
16329,73
7968,337
10246,62
11608,420
15108,468
9774,1
6526,124
14648,323
1434,19
14239,256
4253,13
12680,615
2128,313
6346,75
15292,738
5061,492
8866,79
8657,138
10881,331
12163,150
12716,35
13526,515
13909,868
14219,309
3030,3
6315,464
16193,266
1175,80
14900,13
768,51
6359,162
8846,197
2625,13
5988,16
5097,101
686,56
2608,312
8951,206
2811,177
8368,268
11358,100
7161,37
3822,7
9565,102
5865,163
924,14
10273,11
17223,86
6424,26
21,36
12453,29
8009,404
7517,302
10879,219
7196,135
15154,399
10592,142
7631,363
5207,292
3121,26
802,69
2917,127
8246,24
6144,376
10646,177
2940,218
1049,69
12781,615
12431,5
8632,128
14422,6
12934,13
52,30
6932,138
12921,321
4857,110
14568,8
4461,378
4086,5
14289,346
14152,359
6841,166
12464,369
1115,3
12144,2
8851,50
11135,32
4668,203
16536,553
9571,155
12493,495
6613,45
11254,6
8479,20
14796,491
8238,154
1753,332
8496,86
4416,209
11836,156
12798,185
